category,feature_name,description,how_it_works,architecture_mapping,pricing_tiers_included,list_price_or_pricing_note,report_section_reference,end_to_end_flow_regology_steps,notes_for_team
Compliance Agent,Policy gap analysis,Compare internal policy to regulation; classify coverage,"Reggi compares policy text to clause tree; covered/missing/outdated/misaligned",Compliance Agent + Reggi,Enterprise,Bundled in Enterprise,regology_research.md §5.3,"§6.5 steps 1–5",Strong pattern for GLI internal policy vs gaming regs
Compliance Agent,Harmonized requirements,Cluster equivalent requirements across jurisdictions,"AI clusters similar reqs; user accepts/rejects; harmonized req links to all source clauses",Compliance Agent + SLL,Enterprise,Bundled in Enterprise,regology_research.md §5.3,"§6.6 comparison adjacent",Supports multi-jurisdiction product lines
Reggi (Research Agent),Summarize / applicability / penalties / exemptions skills,Out-of-the-box extraction and summarization skills on library documents,"Side panel summaries; scope; penalty clauses; exemption clauses — document-grounded",Reggi LLM over SLL clauses,Reggi Free (US laws); Professional+ (full library scope),Free limited; Professional+ bundled,regology_research.md §5.4,"§6.3 steps 1–5",Citations mandatory pattern for GLI chat
Reggi (Research Agent),"Draft Requirements; Draft Controls; Draft Policies skills",Structured compliance drafts from selected sources,"User runs skill on law/clause; structured draft with citations; edit; save as object",Reggi + Compliance objects,Professional+ for library-scoped drafting; Enterprise for GRC sync,Bundled in platform tiers,regology_research.md §5.4,"§6.4 steps 1–7",Direct analog to GLI draft packages post-approval
Reggi (Research Agent),Bill research skill,Research bills by jurisdiction/year/status,"Natural-language bill research with structured outputs",Reggi + bills corpus,Enterprise (bills tracking Enterprise per §3.2),Enterprise custom,regology_research.md §5.4,"§6.2 step 5",Pairs with horizon scanning
Reggi (Research Agent),Relevance of regulatory change alert skill,Embedded scoring in alert review to triage reviewers,"Scores/contextualizes alert in workflow before/at review",Reggi + RCA UI,Professional+ (change + Reggi scoped),Bundled,regology_research.md §5.4,"§6.1 step 6; 7",Single biggest UX delta called out in executive summary
Reggi (Research Agent),Six agentic workflows (bundle),Single-doc research; multi-jurisdiction; beyond-library curation; library-only; topic-scoped; global Q&A chatbot,"Entry points set retrieval scope; then standard retrieve→synthesize→cite",Reggi orchestration,Professional+ for most; beyond-library curation is Enterprise-style expansion,Bundled in platform tiers,regology_research.md §5.4,"§6.3; §6.6",Maps to GLI UC2 multi-jurisdiction Q&A
AI-powered regulatory search,Cross-corpus Q&A and filters,GenAI Q&A across large doc universe; cross-jurisdiction one screen; saved advanced filters,"Retrieve across corpus; enhanced filter model on metadata",Reggi + search index on SLL/global,Enterprise for 16M+ doc search; Professional US-only search,Enterprise unlocks global scale called out in pricing,regology_research.md §5.5,"§6.6",Professional includes search within US content per §3.2
Dashboards & reporting,Operational and executive dashboards,50+ pre-built; custom; exports; scheduled email; company/team/individual (Enterprise),"Pre-built + drag/drop or query dashboards; PDF/Excel; schedules; hierarchy on Enterprise",Dashboards service,Professional+ (dashboards in Professional); company/team/individual Enterprise-only,Bundled; Enterprise for hierarchical reporting,regology_research.md §5.6,"N/A",GLI POC: lightweight health + audit counts sufficient per low-level arch
Onboarding,Four-step rollout model,Standard customer journey from library setup through expansion,"Setup SLL → alerts + Reggi → customize alerts/recipients → expand with Legal Research assist",Cross-cutting services,Professional+ (in-app support Professional; 24/7 IT Enterprise),Bundled; Enterprise adds 24/7 cloud IT support,regology_research.md §5.7,"§6.7 steps 1–4",Use as stakeholder comms template for GLI pilot
Integrations & platform,GRC vendor connectors (named),First-class integrations to major GRC platforms,"Bidirectional or supported sync patterns per vendor datasheets",Integration layer §4.4,Enterprise,Bundled in Enterprise,regology_research.md §5.8 §4.4,"§6.1 step 9",GLI: SharePoint MCP as first system-of-record analog
Integrations & platform,Custom API integrations,"REST/JSON; XML; CSV; SFTP for DIY and enterprise connectivity","Enterprise API surface for internal tools and homegrown GRC",Open API §4.4,Enterprise (not included Professional per §3.2),Enterprise custom,regology_research.md §5.8 §4.4,"N/A",Mirrors GLI internal API recommendation §4.6 lesson 5
Integrations & platform,Group workflows,Enterprise collaboration on review and tasks,"Enterprise-only group workflow capability",Platform workflow engine,Enterprise,Bundled in Enterprise,regology_research.md §5.8,"N/A",GLI HITL can start simpler (single reviewer field)
Reference — flows only (no separate price),Regulatory Change Agent — full E2E flow (summary row),Canonical 10-step flagship pipeline from crawl to audit,"Crawl → normalize → version → structural diff → applicability → Reggi relevance → triage → impact → GRC sync → audit",§6.1 maps to entire §4.1 pipeline,Professional+ (US) / Enterprise (global),"See Professional or Enterprise tier rows",regology_research.md §6.1,"1 Source crawl; 2 Normalization; 3 Versioning; 4 Structural diff; 5 Applicability filter; 6 Reggi relevance; 7 Reviewer triage; 8 Impact assessment; 9 Downstream sync; 10 Audit trail",Closest analog to GLI regulatory change POC spine
Reference — flows only (no separate price),Bill tracking & horizon scanning — E2E flow,Legislative lifecycle from ingestion to pre-mapped impact,"Ingest bill meta → track status → applicability → alert → Reggi research → watch items on controls",RCA horizon + Reggi,Enterprise,Bundled in Enterprise,regology_research.md §6.2,"1–6 as §6.2",Use for GLI UC3 roadmap
Reference — flows only (no separate price),Reggi Q&A — E2E flow,Cited natural-language answers,"Prompt → scope → retrieve clauses (+ external trusted sources) → LLM with inline clause IDs → verify UI → save/export",Reggi + SLL retrieval,Reggi Free to Enterprise (scope varies),Free: US only; paid: library scope expands,regology_research.md §6.3,"1–6 as §6.3",Enforce citations on every GLI GenAI output (§7.6)
Reference — flows only (no separate price),Reggi draft requirements/controls/policies — E2E flow,From clause selection to GRC object sync,"Select source → run skill → cited generation → edit → save object → map → GRC sync",Compliance + Reggi + integrations,Enterprise for GRC sync endpoint,Bundled in Enterprise,regology_research.md §6.4,"1–7 as §6.4",Maps to GLI draft package + SharePoint push pattern
Reference — flows only (no separate price),Policy gap analysis — E2E flow,Internal policy vs regulation classification,"Select policy + regulation → AI classify each requirement → gap report → remediation tasks → re-run versioned",Compliance + Reggi,Enterprise,Bundled in Enterprise,regology_research.md §6.5,"1–5 as §6.5",Optional GLI roadmap for internal policy library
Reference — flows only (no separate price),Multi-jurisdictional research — E2E flow,Compare answers across selected jurisdictions with citations,"Open research view → query + pick jurisdictions → per-jurisdiction retrieval → comparative synthesis → table view → export",Reggi + SLL slices,Professional+ (US multi-state); Enterprise (global multi-country),Tier determines corpus breadth,regology_research.md §6.6,"1–6 as §6.6",GLI UC2 pattern for NV+NY then scale
Suggested GLI extras (from same report),Clause-level structural diff (suggested),Readable redlines vs vector-only noise,"Parse sections; tree diff or equivalent; render insert/delete in UI",POC architecture — not Regology SKU,GLI build,N/A (internal),regology_research.md §8.1,"Aligns to §6.1 step 4",Effort M in report priority table
Suggested GLI extras (from same report),LLM alert-relevance scoring (suggested),Triage before reviewer inbox,"Model scores 0–1 + summary + impacted standards/products",POC architecture — pattern from Reggi skill,GLI build,N/A (internal),regology_research.md §8.2,"Aligns to §6.1 step 6",Effort M; called highest UX delta vs vector-only POC
Suggested GLI extras (from same report),Auto-drafted GLIAccess update package (suggested),Structured package not raw diff push,"Template sections + citations + idempotent publish",POC architecture,GLI build,N/A (internal),regology_research.md §8.3,"Analog §6.4 output shape",Effort L
